index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1447,476,40,60,40.626,764,194,ok
0,disappear,1447,476,40,60,17.270,764,194,ok
1,appear,1447,476,40,60,33.732,764,194,ok
1,disappear,1447,476,40,60,26.141,764,194,ok
2,appear,1447,476,40,60,33.802,764,194,ok
2,disappear,1447,476,40,60,30.187,764,194,ok
3,appear,1447,476,40,60,29.608,764,194,ok
3,disappear,1447,476,40,60,29.884,764,194,ok
4,appear,1447,476,40,60,21.886,764,194,ok
4,disappear,1447,476,40,60,29.200,764,194,ok
5,appear,1447,476,40,60,27.646,764,194,ok
5,disappear,1447,476,40,60,28.503,764,194,ok
6,appear,1447,476,40,60,21.913,764,194,ok
6,disappear,1447,476,40,60,32.805,764,194,ok
7,appear,1447,476,40,60,33.930,764,194,ok
7,disappear,1447,476,40,60,24.835,764,194,ok
8,appear,1447,476,40,60,25.954,764,194,ok
8,disappear,1447,476,40,60,31.602,764,194,ok
9,appear,1447,476,40,60,30.519,764,194,ok
9,disappear,1447,476,40,60,27.098,764,194,ok
10,appear,1447,476,40,60,24.672,764,194,ok
10,disappear,1447,476,40,60,29.287,764,194,ok
11,appear,1447,476,40,60,29.057,764,194,ok
11,disappear,1447,476,40,60,27.005,764,194,ok
12,appear,1447,476,40,60,25.598,764,194,ok
12,disappear,1447,476,40,60,24.106,764,194,ok
13,appear,1447,476,40,60,28.148,764,194,ok
13,disappear,1447,476,40,60,29.394,764,194,ok
14,appear,1447,476,40,60,26.321,764,194,ok
14,disappear,1447,476,40,60,22.813,764,194,ok
15,appear,1447,476,40,60,22.935,764,194,ok
15,disappear,1447,476,40,60,25.313,764,194,ok
16,appear,1447,476,40,60,25.309,764,194,ok
16,disappear,1447,476,40,60,881.586,764,194,ok
17,appear,1447,476,40,60,20.181,764,194,ok
17,disappear,1447,476,40,60,25.165,764,194,ok
18,appear,1447,476,40,60,28.299,764,194,ok
18,disappear,1447,476,40,60,25.868,764,194,ok
19,appear,1447,476,40,60,26.850,764,194,ok
19,disappear,1447,476,40,60,26.390,764,194,ok
20,appear,1447,476,40,60,27.769,764,194,ok
20,disappear,1447,476,40,60,29.577,764,194,ok
21,appear,1447,476,40,60,25.321,764,194,ok
21,disappear,1447,476,40,60,30.630,764,194,ok
22,appear,1447,476,40,60,18.509,764,194,ok
22,disappear,1447,476,40,60,29.966,764,194,ok
