index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1285,691,40,60,44.280,617,121,ok
0,disappear,1285,691,40,60,29.043,617,121,ok
1,appear,1285,691,40,60,23.247,617,121,ok
1,disappear,1285,691,40,60,26.481,617,121,ok
2,appear,1285,691,40,60,26.652,617,121,ok
2,disappear,1285,691,40,60,28.145,617,121,ok
3,appear,1285,691,40,60,29.971,617,121,ok
3,disappear,1285,691,40,60,31.852,617,121,ok
4,appear,1285,691,40,60,28.984,617,121,ok
4,disappear,1285,691,40,60,28.003,617,121,ok
5,appear,1285,691,40,60,29.653,617,121,ok
5,disappear,1285,691,40,60,29.432,617,121,ok
6,appear,1285,691,40,60,29.073,617,121,ok
6,disappear,1285,691,40,60,28.631,617,121,ok
7,appear,1285,691,40,60,27.815,617,121,ok
7,disappear,1285,691,40,60,24.639,617,121,ok
8,appear,1285,691,40,60,27.362,617,121,ok
8,disappear,1285,691,40,60,30.337,617,121,ok
9,appear,1285,691,40,60,26.894,617,121,ok
9,disappear,1285,691,40,60,29.466,617,121,ok
10,appear,1285,691,40,60,26.546,617,121,ok
10,disappear,1285,691,40,60,29.195,617,121,ok
11,appear,1285,691,40,60,30.984,617,121,ok
11,disappear,1285,691,40,60,28.981,617,121,ok
12,appear,1285,691,40,60,32.206,617,121,ok
12,disappear,1285,691,40,60,28.561,617,121,ok
13,appear,1285,691,40,60,29.720,617,121,ok
13,disappear,1285,691,40,60,25.982,617,121,ok
14,appear,1285,691,40,60,24.952,617,121,ok
14,disappear,1285,691,40,60,27.780,617,121,ok
15,appear,1285,691,40,60,29.156,617,121,ok
15,disappear,1285,691,40,60,27.294,617,121,ok
16,appear,1285,691,40,60,25.985,617,121,ok
16,disappear,1285,691,40,60,27.689,617,121,ok
17,appear,1285,691,40,60,26.354,617,121,ok
17,disappear,1285,691,40,60,30.344,617,121,ok
18,appear,1285,691,40,60,30.073,617,121,ok
18,disappear,1285,691,40,60,25.664,617,121,ok
19,appear,1285,691,40,60,27.324,617,121,ok
19,disappear,1285,691,40,60,29.016,617,121,ok
20,appear,1285,691,40,60,28.742,617,121,ok
20,disappear,1285,691,40,60,28.221,617,121,ok
21,appear,1285,691,40,60,29.639,617,121,ok
21,disappear,1285,691,40,60,30.453,617,121,ok
22,appear,1285,691,40,60,29.425,617,121,ok
22,disappear,1285,691,40,60,29.555,617,121,ok
23,appear,1285,691,40,60,29.078,617,121,ok
23,disappear,1285,691,40,60,27.789,617,121,ok
24,appear,1285,691,40,60,25.767,617,121,ok
24,disappear,1285,691,40,60,27.675,617,121,ok
25,appear,1285,691,40,60,28.075,617,121,ok
25,disappear,1285,691,40,60,30.127,617,121,ok
26,appear,1285,691,40,60,28.724,617,121,ok
26,disappear,1285,691,40,60,25.827,617,121,ok
27,appear,1285,691,40,60,27.140,617,121,ok
27,disappear,1285,691,40,60,26.316,617,121,ok
28,appear,1285,691,40,60,28.805,617,121,ok
28,disappear,1285,691,40,60,26.440,617,121,ok
29,appear,1285,691,40,60,25.516,617,121,ok
29,disappear,1285,691,40,60,28.075,617,121,ok
30,appear,1285,691,40,60,27.842,617,121,ok
30,disappear,1285,691,40,60,25.470,617,121,ok
31,appear,1285,691,40,60,26.745,617,121,ok
31,disappear,1285,691,40,60,25.556,617,121,ok
32,appear,1285,691,40,60,29.280,617,121,ok
32,disappear,1285,691,40,60,29.076,617,121,ok
33,appear,1285,691,40,60,26.242,617,121,ok
33,disappear,1285,691,40,60,24.715,617,121,ok
34,appear,1285,691,40,60,28.604,617,121,ok
34,disappear,1285,691,40,60,27.154,617,121,ok
35,appear,1285,691,40,60,28.331,617,121,ok
35,disappear,1285,691,40,60,26.955,617,121,ok
36,appear,1285,691,40,60,26.013,617,121,ok
36,disappear,1285,691,40,60,29.229,617,121,ok
37,appear,1285,691,40,60,28.416,617,121,ok
37,disappear,1285,691,40,60,30.243,617,121,ok
38,appear,1285,691,40,60,29.290,617,121,ok
38,disappear,1285,691,40,60,25.616,617,121,ok
39,appear,1285,691,40,60,25.763,617,121,ok
39,disappear,1285,691,40,60,29.023,617,121,ok
40,appear,1285,691,40,60,23.928,617,121,ok
40,disappear,1285,691,40,60,27.108,617,121,ok
41,appear,1285,691,40,60,25.370,617,121,ok
41,disappear,1285,691,40,60,29.894,617,121,ok
42,appear,1285,691,40,60,26.632,617,121,ok
42,disappear,1285,691,40,60,26.109,617,121,ok
43,appear,1285,691,40,60,27.402,617,121,ok
43,disappear,1285,691,40,60,28.212,617,121,ok
44,appear,1285,691,40,60,28.837,617,121,ok
44,disappear,1285,691,40,60,30.976,617,121,ok
45,appear,1285,691,40,60,27.408,617,121,ok
45,disappear,1285,691,40,60,25.796,617,121,ok
46,appear,1285,691,40,60,27.210,617,121,ok
46,disappear,1285,691,40,60,29.067,617,121,ok
47,appear,1285,691,40,60,30.567,617,121,ok
47,disappear,1285,691,40,60,25.970,617,121,ok
48,appear,1285,691,40,60,27.010,617,121,ok
48,disappear,1285,691,40,60,28.510,617,121,ok
49,appear,1285,691,40,60,27.744,617,121,ok
49,disappear,1285,691,40,60,28.937,617,121,ok
50,appear,1285,691,40,60,29.247,617,121,ok
50,disappear,1285,691,40,60,28.831,617,121,ok
51,appear,1285,691,40,60,24.641,617,121,ok
51,disappear,1285,691,40,60,25.595,617,121,ok
52,appear,1285,691,40,60,27.066,617,121,ok
52,disappear,1285,691,40,60,25.249,617,121,ok
53,appear,1285,691,40,60,26.817,617,121,ok
53,disappear,1285,691,40,60,23.952,617,121,ok
54,appear,1285,691,40,60,26.161,617,121,ok
54,disappear,1285,691,40,60,27.976,617,121,ok
55,appear,1285,691,40,60,26.817,617,121,ok
55,disappear,1285,691,40,60,26.200,617,121,ok
56,appear,1285,691,40,60,28.650,617,121,ok
56,disappear,1285,691,40,60,26.104,617,121,ok
57,appear,1285,691,40,60,26.669,617,121,ok
57,disappear,1285,691,40,60,27.278,617,121,ok
58,appear,1285,691,40,60,27.017,617,121,ok
58,disappear,1285,691,40,60,28.805,617,121,ok
59,appear,1285,691,40,60,27.793,617,121,ok
59,disappear,1285,691,40,60,27.515,617,121,ok
60,appear,1285,691,40,60,27.566,617,121,ok
60,disappear,1285,691,40,60,28.486,617,121,ok
61,appear,1285,691,40,60,25.804,617,121,ok
61,disappear,1285,691,40,60,27.147,617,121,ok
62,appear,1285,691,40,60,22.179,617,121,ok
62,disappear,1285,691,40,60,28.009,617,121,ok
63,appear,1285,691,40,60,30.182,617,121,ok
63,disappear,1285,691,40,60,26.981,617,121,ok
64,appear,1285,691,40,60,26.783,617,121,ok
64,disappear,1285,691,40,60,28.194,617,121,ok
65,appear,1285,691,40,60,31.637,617,121,ok
65,disappear,1285,691,40,60,28.849,617,121,ok
66,appear,1285,691,40,60,26.590,617,121,ok
66,disappear,1285,691,40,60,25.870,617,121,ok
67,appear,1285,691,40,60,28.718,617,121,ok
67,disappear,1285,691,40,60,25.871,617,121,ok
68,appear,1285,691,40,60,25.966,617,121,ok
68,disappear,1285,691,40,60,26.716,617,121,ok
69,appear,1285,691,40,60,28.219,617,121,ok
69,disappear,1285,691,40,60,30.119,617,121,ok
70,appear,1285,691,40,60,28.202,617,121,ok
70,disappear,1285,691,40,60,25.082,617,121,ok
