index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1286,691,40,60,47.608,617,121,ok
0,disappear,1286,691,40,60,33.353,617,121,ok
1,appear,1286,691,40,60,40.752,617,121,ok
1,disappear,1286,691,40,60,38.386,617,121,ok
2,appear,1286,691,40,60,42.205,617,121,ok
2,disappear,1286,691,40,60,42.932,617,121,ok
3,appear,1286,691,40,60,41.551,617,121,ok
3,disappear,1286,691,40,60,41.943,617,121,ok
4,appear,1286,691,40,60,38.400,617,121,ok
4,disappear,1286,691,40,60,46.761,617,121,ok
5,appear,1286,691,40,60,37.903,617,121,ok
5,disappear,1286,691,40,60,39.691,617,121,ok
6,appear,1286,691,40,60,40.453,617,121,ok
6,disappear,1286,691,40,60,43.571,617,121,ok
7,appear,1286,691,40,60,39.341,617,121,ok
7,disappear,1286,691,40,60,39.661,617,121,ok
8,appear,1286,691,40,60,32.636,617,121,ok
8,disappear,1286,691,40,60,36.421,617,121,ok
9,appear,1286,691,40,60,37.678,617,121,ok
9,disappear,1286,691,40,60,36.092,617,121,ok
10,appear,1286,691,40,60,36.291,617,121,ok
10,disappear,1286,691,40,60,37.662,617,121,ok
11,appear,1286,691,40,60,40.759,617,121,ok
11,disappear,1286,691,40,60,41.323,617,121,ok
12,appear,1286,691,40,60,36.216,617,121,ok
12,disappear,1286,691,40,60,38.409,617,121,ok
13,appear,1286,691,40,60,37.473,617,121,ok
13,disappear,1286,691,40,60,36.055,617,121,ok
14,appear,1286,691,40,60,39.581,617,121,ok
14,disappear,1286,691,40,60,38.009,617,121,ok
15,appear,1286,691,40,60,37.778,617,121,ok
15,disappear,1286,691,40,60,37.431,617,121,ok
16,appear,1286,691,40,60,38.924,617,121,ok
16,disappear,1286,691,40,60,37.741,617,121,ok
17,appear,1286,691,40,60,40.808,617,121,ok
17,disappear,1286,691,40,60,39.177,617,121,ok
18,appear,1286,691,40,60,35.811,617,121,ok
18,disappear,1286,691,40,60,35.588,617,121,ok
19,appear,1286,691,40,60,40.622,617,121,ok
19,disappear,1286,691,40,60,37.725,617,121,ok
20,appear,1286,691,40,60,36.919,617,121,ok
20,disappear,1286,691,40,60,40.349,617,121,ok
21,appear,1286,691,40,60,36.784,617,121,ok
21,disappear,1286,691,40,60,37.084,617,121,ok
22,appear,1286,691,40,60,35.952,617,121,ok
22,disappear,1286,691,40,60,39.090,617,121,ok
23,appear,1286,691,40,60,37.986,617,121,ok
23,disappear,1286,691,40,60,35.804,617,121,ok
24,appear,1286,691,40,60,42.555,617,121,ok
24,disappear,1286,691,40,60,37.078,617,121,ok
25,appear,1286,691,40,60,38.004,617,121,ok
25,disappear,1286,691,40,60,36.300,617,121,ok
26,appear,1286,691,40,60,36.037,617,121,ok
26,disappear,1286,691,40,60,38.162,617,121,ok
27,appear,1286,691,40,60,36.406,617,121,ok
27,disappear,1286,691,40,60,40.826,617,121,ok
28,appear,1286,691,40,60,35.736,617,121,ok
28,disappear,1286,691,40,60,37.831,617,121,ok
29,appear,1286,691,40,60,36.187,617,121,ok
29,disappear,1286,691,40,60,38.362,617,121,ok
30,appear,1286,691,40,60,37.955,617,121,ok
30,disappear,1286,691,40,60,37.739,617,121,ok
31,appear,1286,691,40,60,37.610,617,121,ok
31,disappear,1286,691,40,60,38.550,617,121,ok
32,appear,1286,691,40,60,36.671,617,121,ok
32,disappear,1286,691,40,60,41.288,617,121,ok
33,appear,1286,691,40,60,25.520,617,121,ok
33,disappear,1286,691,40,60,39.041,617,121,ok
34,appear,1286,691,40,60,37.864,617,121,ok
34,disappear,1286,691,40,60,38.529,617,121,ok
35,appear,1286,691,40,60,38.043,617,121,ok
35,disappear,1286,691,40,60,41.839,617,121,ok
36,appear,1286,691,40,60,36.027,617,121,ok
36,disappear,1286,691,40,60,36.113,617,121,ok
37,appear,1286,691,40,60,37.475,617,121,ok
37,disappear,1286,691,40,60,38.220,617,121,ok
38,appear,1286,691,40,60,36.615,617,121,ok
38,disappear,1286,691,40,60,37.033,617,121,ok
39,appear,1286,691,40,60,36.074,617,121,ok
39,disappear,1286,691,40,60,37.727,617,121,ok
40,appear,1286,691,40,60,37.432,617,121,ok
40,disappear,1286,691,40,60,36.021,617,121,ok
41,appear,1286,691,40,60,37.843,617,121,ok
41,disappear,1286,691,40,60,35.561,617,121,ok
42,appear,1286,691,40,60,37.469,617,121,ok
42,disappear,1286,691,40,60,36.795,617,121,ok
43,appear,1286,691,40,60,35.885,617,121,ok
43,disappear,1286,691,40,60,40.457,617,121,ok
44,appear,1286,691,40,60,36.497,617,121,ok
44,disappear,1286,691,40,60,40.086,617,121,ok
45,appear,1286,691,40,60,36.230,617,121,ok
45,disappear,1286,691,40,60,39.732,617,121,ok
46,appear,1286,691,40,60,37.228,617,121,ok
46,disappear,1286,691,40,60,40.972,617,121,ok
47,appear,1286,691,40,60,43.346,617,121,ok
47,disappear,1286,691,40,60,35.852,617,121,ok
48,appear,1286,691,40,60,35.985,617,121,ok
48,disappear,1286,691,40,60,34.956,617,121,ok
49,appear,1286,691,40,60,34.666,617,121,ok
49,disappear,1286,691,40,60,35.634,617,121,ok
50,appear,1286,691,40,60,34.046,617,121,ok
50,disappear,1286,691,40,60,37.707,617,121,ok
51,appear,1286,691,40,60,37.824,617,121,ok
51,disappear,1286,691,40,60,36.439,617,121,ok
52,appear,1286,691,40,60,36.746,617,121,ok
52,disappear,1286,691,40,60,33.732,617,121,ok
53,appear,1286,691,40,60,40.113,617,121,ok
53,disappear,1286,691,40,60,35.644,617,121,ok
54,appear,1286,691,40,60,38.255,617,121,ok
54,disappear,1286,691,40,60,36.053,617,121,ok
55,appear,1286,691,40,60,35.754,617,121,ok
55,disappear,1286,691,40,60,36.362,617,121,ok
56,appear,1286,691,40,60,42.699,617,121,ok
56,disappear,1286,691,40,60,36.165,617,121,ok
57,appear,1286,691,40,60,36.508,617,121,ok
57,disappear,1286,691,40,60,38.017,617,121,ok
58,appear,1286,691,40,60,38.101,617,121,ok
58,disappear,1286,691,40,60,36.442,617,121,ok
59,appear,1286,691,40,60,37.473,617,121,ok
59,disappear,1286,691,40,60,40.172,617,121,ok
60,appear,1286,691,40,60,37.562,617,121,ok
60,disappear,1286,691,40,60,41.458,617,121,ok
61,appear,1286,691,40,60,35.979,617,121,ok
61,disappear,1286,691,40,60,39.063,617,121,ok
62,appear,1286,691,40,60,38.212,617,121,ok
62,disappear,1286,691,40,60,38.588,617,121,ok
63,appear,1286,691,40,60,38.313,617,121,ok
63,disappear,1286,691,40,60,29.244,617,121,ok
64,appear,1286,691,40,60,26.691,617,121,ok
64,disappear,1286,691,40,60,33.823,617,121,ok
65,appear,1286,691,40,60,35.664,617,121,ok
65,disappear,1286,691,40,60,35.070,617,121,ok
66,appear,1286,691,40,60,37.809,617,121,ok
66,disappear,1286,691,40,60,36.023,617,121,ok
67,appear,1286,691,40,60,33.439,617,121,ok
67,disappear,1286,691,40,60,34.629,617,121,ok
68,appear,1286,691,40,60,39.725,617,121,ok
68,disappear,1286,691,40,60,37.284,617,121,ok
69,appear,1286,691,40,60,35.405,617,121,ok
69,disappear,1286,691,40,60,39.280,617,121,ok
70,appear,1286,691,40,60,38.732,617,121,ok
70,disappear,1286,691,40,60,36.091,617,121,ok
71,appear,1286,691,40,60,40.629,617,121,ok
71,disappear,1286,691,40,60,35.718,617,121,ok
72,appear,1286,691,40,60,39.058,617,121,ok
72,disappear,1286,691,40,60,37.231,617,121,ok
73,appear,1286,691,40,60,36.193,617,121,ok
73,disappear,1286,691,40,60,37.684,617,121,ok
74,appear,1286,691,40,60,35.815,617,121,ok
74,disappear,1286,691,40,60,36.181,617,121,ok
75,appear,1286,691,40,60,35.382,617,121,ok
75,disappear,1286,691,40,60,36.261,617,121,ok
76,appear,1286,691,40,60,37.130,617,121,ok
76,disappear,1286,691,40,60,36.482,617,121,ok
77,appear,1286,691,40,60,42.303,617,121,ok
77,disappear,1286,691,40,60,42.856,617,121,ok
78,appear,1286,691,40,60,40.431,617,121,ok
78,disappear,1286,691,40,60,37.226,617,121,ok
79,appear,1286,691,40,60,36.869,617,121,ok
79,disappear,1286,691,40,60,39.446,617,121,ok
80,appear,1286,691,40,60,36.535,617,121,ok
80,disappear,1286,691,40,60,38.610,617,121,ok
81,appear,1286,691,40,60,37.177,617,121,ok
81,disappear,1286,691,40,60,40.335,617,121,ok
82,appear,1286,691,40,60,36.479,617,121,ok
82,disappear,1286,691,40,60,38.095,617,121,ok
83,appear,1286,691,40,60,40.297,617,121,ok
83,disappear,1286,691,40,60,37.919,617,121,ok
84,appear,1286,691,40,60,43.709,617,121,ok
84,disappear,1286,691,40,60,38.844,617,121,ok
85,appear,1286,691,40,60,40.057,617,121,ok
85,disappear,1286,691,40,60,36.956,617,121,ok
86,appear,1286,691,40,60,40.082,617,121,ok
86,disappear,1286,691,40,60,38.897,617,121,ok
87,appear,1286,691,40,60,40.224,617,121,ok
87,disappear,1286,691,40,60,38.113,617,121,ok
88,appear,1286,691,40,60,40.973,617,121,ok
88,disappear,1286,691,40,60,37.676,617,121,ok
89,appear,1286,691,40,60,38.878,617,121,ok
89,disappear,1286,691,40,60,38.196,617,121,ok
90,appear,1286,691,40,60,38.715,617,121,ok
90,disappear,1286,691,40,60,37.151,617,121,ok
91,appear,1286,691,40,60,40.450,617,121,ok
91,disappear,1286,691,40,60,37.839,617,121,ok
92,appear,1286,691,40,60,36.409,617,121,ok
92,disappear,1286,691,40,60,37.566,617,121,ok
93,appear,1286,691,40,60,41.192,617,121,ok
93,disappear,1286,691,40,60,38.068,617,121,ok
94,appear,1286,691,40,60,35.728,617,121,ok
94,disappear,1286,691,40,60,40.825,617,121,ok
95,appear,1286,691,40,60,39.180,617,121,ok
95,disappear,1286,691,40,60,37.808,617,121,ok
96,appear,1286,691,40,60,36.126,617,121,ok
96,disappear,1286,691,40,60,36.990,617,121,ok
97,appear,1286,691,40,60,36.372,617,121,ok
97,disappear,1286,691,40,60,35.205,617,121,ok
98,appear,1286,691,40,60,35.961,617,121,ok
98,disappear,1286,691,40,60,44.039,617,121,ok
99,appear,1286,691,40,60,36.060,617,121,ok
99,disappear,1286,691,40,60,39.814,617,121,ok
