index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1158,851,40,60,26.377,617,121,ok
0,disappear,1158,851,40,60,14.829,617,121,ok
1,appear,1158,851,40,60,16.859,617,121,ok
1,disappear,1158,851,40,60,14.588,617,121,ok
2,appear,1158,851,40,60,14.342,617,121,ok
2,disappear,1158,851,40,60,17.011,617,121,ok
3,appear,1158,851,40,60,15.006,617,121,ok
3,disappear,1158,851,40,60,15.175,617,121,ok
4,appear,1158,851,40,60,16.091,617,121,ok
4,disappear,1158,851,40,60,14.998,617,121,ok
5,appear,1158,851,40,60,15.124,617,121,ok
5,disappear,1158,851,40,60,16.647,617,121,ok
6,appear,1158,851,40,60,16.114,617,121,ok
6,disappear,1158,851,40,60,14.951,617,121,ok
7,appear,1158,851,40,60,14.420,617,121,ok
7,disappear,1158,851,40,60,14.747,617,121,ok
8,appear,1158,851,40,60,16.125,617,121,ok
8,disappear,1158,851,40,60,14.400,617,121,ok
9,appear,1158,851,40,60,15.122,617,121,ok
9,disappear,1158,851,40,60,14.535,617,121,ok
10,appear,1158,851,40,60,17.022,617,121,ok
10,disappear,1158,851,40,60,16.023,617,121,ok
11,appear,1158,851,40,60,15.061,617,121,ok
11,disappear,1158,851,40,60,17.467,617,121,ok
12,appear,1158,851,40,60,17.762,617,121,ok
12,disappear,1158,851,40,60,17.285,617,121,ok
13,appear,1158,851,40,60,18.373,617,121,ok
13,disappear,1158,851,40,60,14.852,617,121,ok
14,appear,1158,851,40,60,14.562,617,121,ok
14,disappear,1158,851,40,60,16.327,617,121,ok
15,appear,1158,851,40,60,15.601,617,121,ok
15,disappear,1158,851,40,60,15.273,617,121,ok
16,appear,1158,851,40,60,18.009,617,121,ok
16,disappear,1158,851,40,60,14.822,617,121,ok
17,appear,1158,851,40,60,14.838,617,121,ok
17,disappear,1158,851,40,60,16.810,617,121,ok
18,appear,1158,851,40,60,14.794,617,121,ok
18,disappear,1158,851,40,60,15.116,617,121,ok
19,appear,1158,851,40,60,14.159,617,121,ok
19,disappear,1158,851,40,60,14.892,617,121,ok
20,appear,1158,851,40,60,16.450,617,121,ok
20,disappear,1158,851,40,60,14.203,617,121,ok
21,appear,1158,851,40,60,14.500,617,121,ok
21,disappear,1158,851,40,60,14.369,617,121,ok
22,appear,1158,851,40,60,17.488,617,121,ok
22,disappear,1158,851,40,60,14.676,617,121,ok
23,appear,1158,851,40,60,14.490,617,121,ok
23,disappear,1158,851,40,60,14.349,617,121,ok
24,appear,1158,851,40,60,14.509,617,121,ok
24,disappear,1158,851,40,60,15.921,617,121,ok
25,appear,1158,851,40,60,16.194,617,121,ok
25,disappear,1158,851,40,60,14.886,617,121,ok
26,appear,1158,851,40,60,14.737,617,121,ok
26,disappear,1158,851,40,60,16.479,617,121,ok
27,appear,1158,851,40,60,15.002,617,121,ok
27,disappear,1158,851,40,60,15.400,617,121,ok
28,appear,1158,851,40,60,14.706,617,121,ok
28,disappear,1158,851,40,60,16.356,617,121,ok
29,appear,1158,851,40,60,13.966,617,121,ok
29,disappear,1158,851,40,60,15.080,617,121,ok
30,appear,1158,851,40,60,15.488,617,121,ok
30,disappear,1158,851,40,60,13.053,617,121,ok
31,appear,1158,851,40,60,14.824,617,121,ok
31,disappear,1158,851,40,60,17.974,617,121,ok
32,appear,1158,851,40,60,16.485,617,121,ok
32,disappear,1158,851,40,60,14.973,617,121,ok
33,appear,1158,851,40,60,15.889,617,121,ok
33,disappear,1158,851,40,60,14.626,617,121,ok
