index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1158,891,40,60,40.158,617,122,ok
0,disappear,1158,891,40,60,27.993,617,122,ok
1,appear,1158,891,40,60,26.937,617,122,ok
1,disappear,1158,891,40,60,25.597,617,122,ok
2,appear,1158,891,40,60,24.998,617,122,ok
2,disappear,1158,891,40,60,26.873,617,122,ok
3,appear,1158,891,40,60,27.357,617,122,ok
3,disappear,1158,891,40,60,27.502,617,122,ok
4,appear,1158,891,40,60,27.778,617,122,ok
4,disappear,1158,891,40,60,28.182,617,122,ok
5,appear,1158,891,40,60,25.709,617,122,ok
5,disappear,1158,891,40,60,27.719,617,122,ok
6,appear,1158,891,40,60,26.221,617,122,ok
6,disappear,1158,891,40,60,24.400,617,122,ok
7,appear,1158,891,40,60,26.745,617,122,ok
7,disappear,1158,891,40,60,25.184,617,122,ok
8,appear,1158,891,40,60,16.934,617,122,ok
8,disappear,1158,891,40,60,25.985,617,122,ok
9,appear,1158,891,40,60,24.564,617,122,ok
9,disappear,1158,891,40,60,27.125,617,122,ok
10,appear,1158,891,40,60,24.829,617,122,ok
10,disappear,1158,891,40,60,25.187,617,122,ok
11,appear,1158,891,40,60,24.651,617,122,ok
11,disappear,1158,891,40,60,25.484,617,122,ok
12,appear,1158,891,40,60,25.269,617,122,ok
12,disappear,1158,891,40,60,25.990,617,122,ok
13,appear,1158,891,40,60,27.783,617,122,ok
13,disappear,1158,891,40,60,24.587,617,122,ok
14,appear,1158,891,40,60,24.727,617,122,ok
14,disappear,1158,891,40,60,26.280,617,122,ok
15,appear,1158,891,40,60,24.433,617,122,ok
15,disappear,1158,891,40,60,26.381,617,122,ok
16,appear,1158,891,40,60,25.690,617,122,ok
16,disappear,1158,891,40,60,24.851,617,122,ok
17,appear,1158,891,40,60,25.269,617,122,ok
17,disappear,1158,891,40,60,26.207,617,122,ok
18,appear,1158,891,40,60,26.627,617,122,ok
18,disappear,1158,891,40,60,24.389,617,122,ok
19,appear,1158,891,40,60,24.807,617,122,ok
19,disappear,1158,891,40,60,27.435,617,122,ok
20,appear,1158,891,40,60,27.494,617,122,ok
20,disappear,1158,891,40,60,24.761,617,122,ok
21,appear,1158,891,40,60,24.665,617,122,ok
21,disappear,1158,891,40,60,26.324,617,122,ok
22,appear,1158,891,40,60,25.073,617,122,ok
22,disappear,1158,891,40,60,24.936,617,122,ok
23,appear,1158,891,40,60,24.707,617,122,ok
23,disappear,1158,891,40,60,27.116,617,122,ok
24,appear,1158,891,40,60,26.251,617,122,ok
24,disappear,1158,891,40,60,24.962,617,122,ok
