index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1156,891,40,60,27.001,617,122,ok
0,disappear,1156,891,40,60,14.591,617,122,ok
1,appear,1156,891,40,60,17.292,617,122,ok
1,disappear,1156,891,40,60,15.441,617,122,ok
2,appear,1156,891,40,60,14.559,617,122,ok
2,disappear,1156,891,40,60,15.745,617,122,ok
3,appear,1156,891,40,60,15.481,617,122,ok
3,disappear,1156,891,40,60,18.395,617,122,ok
4,appear,1156,891,40,60,17.147,617,122,ok
4,disappear,1156,891,40,60,14.792,617,122,ok
5,appear,1156,891,40,60,14.679,617,122,ok
5,disappear,1156,891,40,60,14.553,617,122,ok
6,appear,1156,891,40,60,14.498,617,122,ok
6,disappear,1156,891,40,60,15.134,617,122,ok
7,appear,1156,891,40,60,14.625,617,122,ok
7,disappear,1156,891,40,60,14.252,617,122,ok
8,appear,1156,891,40,60,14.672,617,122,ok
8,disappear,1156,891,40,60,14.978,617,122,ok
9,appear,1156,891,40,60,14.869,617,122,ok
9,disappear,1156,891,40,60,14.666,617,122,ok
10,appear,1156,891,40,60,14.628,617,122,ok
10,disappear,1156,891,40,60,14.664,617,122,ok
11,appear,1156,891,40,60,16.569,617,122,ok
11,disappear,1156,891,40,60,15.402,617,122,ok
12,appear,1156,891,40,60,14.953,617,122,ok
12,disappear,1156,891,40,60,15.050,617,122,ok
13,appear,1156,891,40,60,15.841,617,122,ok
13,disappear,1156,891,40,60,14.657,617,122,ok
14,appear,1156,891,40,60,17.554,617,122,ok
14,disappear,1156,891,40,60,14.486,617,122,ok
15,appear,1156,891,40,60,18.572,617,122,ok
15,disappear,1156,891,40,60,17.476,617,122,ok
16,appear,1156,891,40,60,14.643,617,122,ok
16,disappear,1156,891,40,60,15.165,617,122,ok
17,appear,1156,891,40,60,14.807,617,122,ok
17,disappear,1156,891,40,60,15.230,617,122,ok
18,appear,1156,891,40,60,15.048,617,122,ok
18,disappear,1156,891,40,60,13.979,617,122,ok
19,appear,1156,891,40,60,15.137,617,122,ok
19,disappear,1156,891,40,60,15.385,617,122,ok
