index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1155,913,40,60,34.869,617,122,ok
0,disappear,1155,913,40,60,14.971,617,122,ok
1,appear,1155,913,40,60,16.059,617,122,ok
1,disappear,1155,913,40,60,18.254,617,122,ok
2,appear,1155,913,40,60,15.822,617,122,ok
2,disappear,1155,913,40,60,21.326,617,122,ok
3,appear,1155,913,40,60,14.549,617,122,ok
3,disappear,1155,913,40,60,23.915,617,122,ok
4,appear,1155,913,40,60,15.970,617,122,ok
4,disappear,1155,913,40,60,18.961,617,122,ok
5,appear,1155,913,40,60,15.255,617,122,ok
5,disappear,1155,913,40,60,18.993,617,122,ok
6,appear,1155,913,40,60,15.121,617,122,ok
6,disappear,1155,913,40,60,16.926,617,122,ok
7,appear,1155,913,40,60,14.172,617,122,ok
7,disappear,1155,913,40,60,14.710,617,122,ok
8,appear,1155,913,40,60,18.558,617,122,ok
8,disappear,1155,913,40,60,16.413,617,122,ok
9,appear,1155,913,40,60,15.586,617,122,ok
9,disappear,1155,913,40,60,17.114,617,122,ok
10,appear,1155,913,40,60,21.896,617,122,ok
10,disappear,1155,913,40,60,14.219,617,122,ok
11,appear,1155,913,40,60,16.111,617,122,ok
11,disappear,1155,913,40,60,15.420,617,122,ok
12,appear,1155,913,40,60,15.750,617,122,ok
12,disappear,1155,913,40,60,17.797,617,122,ok
13,appear,1155,913,40,60,17.247,617,122,ok
13,disappear,1155,913,40,60,15.806,617,122,ok
14,appear,1155,913,40,60,14.024,617,122,ok
14,disappear,1155,913,40,60,16.021,617,122,ok
15,appear,1155,913,40,60,15.258,617,122,ok
15,disappear,1155,913,40,60,15.681,617,122,ok
16,appear,1155,913,40,60,17.063,617,122,ok
16,disappear,1155,913,40,60,17.986,617,122,ok
17,appear,1155,913,40,60,17.055,617,122,ok
17,disappear,1155,913,40,60,17.571,617,122,ok
18,appear,1155,913,40,60,16.329,617,122,ok
18,disappear,1155,913,40,60,20.069,617,122,ok
19,appear,1155,913,40,60,15.223,617,122,ok
19,disappear,1155,913,40,60,16.784,617,122,ok
20,appear,1155,913,40,60,16.133,617,122,ok
20,disappear,1155,913,40,60,18.703,617,122,ok
21,appear,1155,913,40,60,15.090,617,122,ok
21,disappear,1155,913,40,60,17.515,617,122,ok
22,appear,1155,913,40,60,14.254,617,122,ok
22,disappear,1155,913,40,60,14.920,617,122,ok
23,appear,1155,913,40,60,15.752,617,122,ok
23,disappear,1155,913,40,60,15.891,617,122,ok
24,appear,1155,913,40,60,18.436,617,122,ok
24,disappear,1155,913,40,60,16.154,617,122,ok
25,appear,1155,913,40,60,14.244,617,122,ok
25,disappear,1155,913,40,60,21.238,617,122,ok
26,appear,1155,913,40,60,16.461,617,122,ok
26,disappear,1155,913,40,60,20.110,617,122,ok
27,appear,1155,913,40,60,12.669,617,122,ok
27,disappear,1155,913,40,60,15.655,617,122,ok
28,appear,1155,913,40,60,16.029,617,122,ok
28,disappear,1155,913,40,60,14.857,617,122,ok
29,appear,1155,913,40,60,16.222,617,122,ok
29,disappear,1155,913,40,60,14.320,617,122,ok
30,appear,1155,913,40,60,14.943,617,122,ok
30,disappear,1155,913,40,60,17.409,617,122,ok
31,appear,1155,913,40,60,15.317,617,122,ok
31,disappear,1155,913,40,60,22.323,617,122,ok
32,appear,1155,913,40,60,15.125,617,122,ok
32,disappear,1155,913,40,60,15.828,617,122,ok
33,appear,1155,913,40,60,15.108,617,122,ok
33,disappear,1155,913,40,60,16.394,617,122,ok
34,appear,1155,913,40,60,16.597,617,122,ok
34,disappear,1155,913,40,60,15.527,617,122,ok
35,appear,1155,913,40,60,14.646,617,122,ok
35,disappear,1155,913,40,60,16.076,617,122,ok
36,appear,1155,913,40,60,15.481,617,122,ok
36,disappear,1155,913,40,60,15.530,617,122,ok
37,appear,1155,913,40,60,15.173,617,122,ok
37,disappear,1155,913,40,60,17.042,617,122,ok
38,appear,1155,913,40,60,17.063,617,122,ok
38,disappear,1155,913,40,60,15.878,617,122,ok
39,appear,1155,913,40,60,14.604,617,122,ok
39,disappear,1155,913,40,60,16.210,617,122,ok
40,appear,1155,913,40,60,14.517,617,122,ok
40,disappear,1155,913,40,60,17.140,617,122,ok
41,appear,1155,913,40,60,17.231,617,122,ok
41,disappear,1155,913,40,60,18.483,617,122,ok
42,appear,1155,913,40,60,18.881,617,122,ok
42,disappear,1155,913,40,60,15.737,617,122,ok
43,appear,1155,913,40,60,15.455,617,122,ok
43,disappear,1155,913,40,60,15.757,617,122,ok
44,appear,1155,913,40,60,14.463,617,122,ok
44,disappear,1155,913,40,60,17.554,617,122,ok
45,appear,1155,913,40,60,15.315,617,122,ok
45,disappear,1155,913,40,60,14.728,617,122,ok
46,appear,1155,913,40,60,15.844,617,122,ok
46,disappear,1155,913,40,60,15.801,617,122,ok
47,appear,1155,913,40,60,15.371,617,122,ok
47,disappear,1155,913,40,60,20.073,617,122,ok
48,appear,1155,913,40,60,14.658,617,122,ok
48,disappear,1155,913,40,60,15.387,617,122,ok
49,appear,1155,913,40,60,15.452,617,122,ok
49,disappear,1155,913,40,60,17.592,617,122,ok
50,appear,1155,913,40,60,14.727,617,122,ok
50,disappear,1155,913,40,60,16.077,617,122,ok
51,appear,1155,913,40,60,14.466,617,122,ok
51,disappear,1155,913,40,60,15.837,617,122,ok
52,appear,1155,913,40,60,16.284,617,122,ok
52,disappear,1155,913,40,60,16.858,617,122,ok
53,appear,1155,913,40,60,15.480,617,122,ok
53,disappear,1155,913,40,60,14.932,617,122,ok
54,appear,1155,913,40,60,15.512,617,122,ok
54,disappear,1155,913,40,60,18.764,617,122,ok
55,appear,1155,913,40,60,15.793,617,122,ok
55,disappear,1155,913,40,60,23.689,617,122,ok
56,appear,1155,913,40,60,15.077,617,122,ok
56,disappear,1155,913,40,60,15.530,617,122,ok
57,appear,1155,913,40,60,18.437,617,122,ok
57,disappear,1155,913,40,60,24.315,617,122,ok
58,appear,1155,913,40,60,14.260,617,122,ok
58,disappear,1155,913,40,60,16.776,617,122,ok
59,appear,1155,913,40,60,15.050,617,122,ok
59,disappear,1155,913,40,60,17.993,617,122,ok
60,appear,1155,913,40,60,14.973,617,122,ok
60,disappear,1155,913,40,60,16.873,617,122,ok
61,appear,1155,913,40,60,14.633,617,122,ok
61,disappear,1155,913,40,60,22.042,617,122,ok
62,appear,1155,913,40,60,15.057,617,122,ok
62,disappear,1155,913,40,60,23.188,617,122,ok
63,appear,1155,913,40,60,14.839,617,122,ok
63,disappear,1155,913,40,60,24.168,617,122,ok
64,appear,1155,913,40,60,15.525,617,122,ok
