index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1684,1031,40,60,54.789,612,114,ok
0,disappear,1684,1031,40,60,23.648,612,114,ok
1,appear,1684,1031,40,60,36.164,612,114,ok
1,disappear,1684,1031,40,60,29.118,612,114,ok
2,appear,1684,1031,40,60,30.481,612,114,ok
2,disappear,1684,1031,40,60,61.242,612,114,ok
3,appear,1684,1031,40,60,26.523,612,114,ok
3,disappear,1684,1031,40,60,57.807,612,114,ok
4,appear,1684,1031,40,60,62.546,612,114,ok
4,disappear,1684,1031,40,60,30.769,612,114,ok
5,appear,1684,1031,40,60,56.987,612,114,ok
5,disappear,1684,1031,40,60,24.074,612,114,ok
6,appear,1684,1031,40,60,33.970,612,114,ok
6,disappear,1684,1031,40,60,27.017,612,114,ok
7,appear,1684,1031,40,60,25.774,612,114,ok
7,disappear,1684,1031,40,60,29.874,612,114,ok
8,appear,1684,1031,40,60,56.383,612,114,ok
8,disappear,1684,1031,40,60,27.554,612,114,ok
9,appear,1684,1031,40,60,28.151,612,114,ok
9,disappear,1684,1031,40,60,34.309,612,114,ok
10,appear,1684,1031,40,60,28.221,612,114,ok
10,disappear,1684,1031,40,60,30.912,612,114,ok
11,appear,1684,1031,40,60,67.696,612,114,ok
11,disappear,1684,1031,40,60,32.126,612,114,ok
12,appear,1684,1031,40,60,29.805,612,114,ok
12,disappear,1684,1031,40,60,53.569,612,114,ok
13,appear,1684,1031,40,60,55.361,612,114,ok
13,disappear,1684,1031,40,60,30.870,612,114,ok
14,appear,1684,1031,40,60,26.927,612,114,ok
14,disappear,1684,1031,40,60,27.066,612,114,ok
15,appear,1684,1031,40,60,26.812,612,114,ok
15,disappear,1684,1031,40,60,26.982,612,114,ok
16,appear,1684,1031,40,60,28.126,612,114,ok
16,disappear,1684,1031,40,60,28.965,612,114,ok
17,appear,1684,1031,40,60,29.308,612,114,ok
17,disappear,1684,1031,40,60,46.727,612,114,ok
18,appear,1684,1031,40,60,34.479,612,114,ok
18,disappear,1684,1031,40,60,61.684,612,114,ok
19,appear,1684,1031,40,60,27.179,612,114,ok
19,disappear,1684,1031,40,60,62.119,612,114,ok
20,appear,1684,1031,40,60,26.532,612,114,ok
20,disappear,1684,1031,40,60,24.077,612,114,ok
21,appear,1684,1031,40,60,59.816,612,114,ok
21,disappear,1684,1031,40,60,31.470,612,114,ok
22,appear,1684,1031,40,60,33.732,612,114,ok
22,disappear,1684,1031,40,60,36.458,612,114,ok
23,appear,1684,1031,40,60,31.945,612,114,ok
23,disappear,1684,1031,40,60,38.320,612,114,ok
24,appear,1684,1031,40,60,58.458,612,114,ok
24,disappear,1684,1031,40,60,56.170,612,114,ok
25,appear,1684,1031,40,60,28.628,612,114,ok
25,disappear,1684,1031,40,60,27.241,612,114,ok
26,appear,1684,1031,40,60,28.355,612,114,ok
26,disappear,1684,1031,40,60,29.880,612,114,ok
27,appear,1684,1031,40,60,34.306,612,114,ok
27,disappear,1684,1031,40,60,52.683,612,114,ok
28,appear,1684,1031,40,60,27.240,612,114,ok
28,disappear,1684,1031,40,60,28.879,612,114,ok
29,appear,1684,1031,40,60,29.736,612,114,ok
29,disappear,1684,1031,40,60,30.274,612,114,ok
30,appear,1684,1031,40,60,28.142,612,114,ok
30,disappear,1684,1031,40,60,36.292,612,114,ok
31,appear,1684,1031,40,60,29.512,612,114,ok
31,disappear,1684,1031,40,60,26.886,612,114,ok
32,appear,1684,1031,40,60,28.344,612,114,ok
32,disappear,1684,1031,40,60,24.894,612,114,ok
33,appear,1684,1031,40,60,29.333,612,114,ok
33,disappear,1684,1031,40,60,58.687,612,114,ok
34,appear,1684,1031,40,60,54.079,612,114,ok
34,disappear,1684,1031,40,60,26.629,612,114,ok
35,appear,1684,1031,40,60,27.064,612,114,ok
35,disappear,1684,1031,40,60,25.859,612,114,ok
36,appear,1684,1031,40,60,58.529,612,114,ok
36,disappear,1684,1031,40,60,29.302,612,114,ok
37,appear,1684,1031,40,60,27.952,612,114,ok
37,disappear,1684,1031,40,60,30.492,612,114,ok
38,appear,1684,1031,40,60,28.535,612,114,ok
38,disappear,1684,1031,40,60,33.282,612,114,ok
39,appear,1684,1031,40,60,53.766,612,114,ok
39,disappear,1684,1031,40,60,27.675,612,114,ok
40,appear,1684,1031,40,60,28.983,612,114,ok
40,disappear,1684,1031,40,60,24.414,612,114,ok
41,appear,1684,1031,40,60,27.041,612,114,ok
41,disappear,1684,1031,40,60,22.850,612,114,ok
42,appear,1684,1031,40,60,42.179,612,114,ok
42,disappear,1684,1031,40,60,57.657,612,114,ok
43,appear,1684,1031,40,60,27.868,612,114,ok
43,disappear,1684,1031,40,60,31.150,612,114,ok
44,appear,1684,1031,40,60,33.301,612,114,ok
44,disappear,1684,1031,40,60,55.792,612,114,ok
45,appear,1684,1031,40,60,33.443,612,114,ok
45,disappear,1684,1031,40,60,31.283,612,114,ok
46,appear,1684,1031,40,60,28.900,612,114,ok
46,disappear,1684,1031,40,60,30.318,612,114,ok
47,appear,1684,1031,40,60,29.366,612,114,ok
47,disappear,1684,1031,40,60,54.013,612,114,ok
48,appear,1684,1031,40,60,24.132,612,114,ok
48,disappear,1684,1031,40,60,26.822,612,114,ok
49,appear,1684,1031,40,60,57.600,612,114,ok
49,disappear,1684,1031,40,60,36.569,612,114,ok
50,appear,1684,1031,40,60,25.305,612,114,ok
50,disappear,1684,1031,40,60,31.126,612,114,ok
51,appear,1684,1031,40,60,26.819,612,114,ok
51,disappear,1684,1031,40,60,41.590,612,114,ok
52,appear,1684,1031,40,60,22.470,612,114,ok
52,disappear,1684,1031,40,60,31.557,612,114,ok
53,appear,1684,1031,40,60,28.551,612,114,ok
53,disappear,1684,1031,40,60,58.133,612,114,ok
54,appear,1684,1031,40,60,61.826,612,114,ok
54,disappear,1684,1031,40,60,32.849,612,114,ok
55,appear,1684,1031,40,60,31.028,612,114,ok
55,disappear,1684,1031,40,60,26.464,612,114,ok
56,appear,1684,1031,40,60,27.998,612,114,ok
56,disappear,1684,1031,40,60,34.086,612,114,ok
57,appear,1684,1031,40,60,33.464,612,114,ok
57,disappear,1684,1031,40,60,26.624,612,114,ok
58,appear,1684,1031,40,60,29.191,612,114,ok
58,disappear,1684,1031,40,60,28.386,612,114,ok
59,appear,1684,1031,40,60,29.503,612,114,ok
59,disappear,1684,1031,40,60,26.429,612,114,ok
60,appear,1684,1031,40,60,30.287,612,114,ok
60,disappear,1684,1031,40,60,29.128,612,114,ok
61,appear,1684,1031,40,60,33.655,612,114,ok
61,disappear,1684,1031,40,60,28.252,612,114,ok
62,appear,1684,1031,40,60,27.119,612,114,ok
62,disappear,1684,1031,40,60,29.700,612,114,ok
63,appear,1684,1031,40,60,31.095,612,114,ok
63,disappear,1684,1031,40,60,27.078,612,114,ok
64,appear,1684,1031,40,60,35.920,612,114,ok
64,disappear,1684,1031,40,60,27.576,612,114,ok
65,appear,1684,1031,40,60,58.141,612,114,ok
65,disappear,1684,1031,40,60,55.794,612,114,ok
66,appear,1684,1031,40,60,21.442,612,114,ok
66,disappear,1684,1031,40,60,39.522,612,114,ok
67,appear,1684,1031,40,60,24.328,612,114,ok
67,disappear,1684,1031,40,60,20.047,612,114,ok
68,appear,1684,1031,40,60,17.971,612,114,ok
68,disappear,1684,1031,40,60,21.872,612,114,ok
69,appear,1684,1031,40,60,37.031,612,114,ok
69,disappear,1684,1031,40,60,25.958,612,114,ok
70,appear,1684,1031,40,60,57.264,612,114,ok
70,disappear,1684,1031,40,60,27.201,612,114,ok
71,appear,1684,1031,40,60,29.963,612,114,ok
71,disappear,1684,1031,40,60,32.765,612,114,ok
72,appear,1684,1031,40,60,31.310,612,114,ok
72,disappear,1684,1031,40,60,27.937,612,114,ok
73,appear,1684,1031,40,60,41.036,612,114,ok
73,disappear,1684,1031,40,60,51.197,612,114,ok
74,appear,1684,1031,40,60,26.560,612,114,ok
74,disappear,1684,1031,40,60,21.179,612,114,ok
75,appear,1684,1031,40,60,47.551,612,114,ok
75,disappear,1684,1031,40,60,43.991,612,114,ok
76,appear,1684,1031,40,60,62.222,612,114,ok
76,disappear,1684,1031,40,60,35.554,612,114,ok
77,appear,1684,1031,40,60,55.987,612,114,ok
77,disappear,1684,1031,40,60,28.426,612,114,ok
78,appear,1684,1031,40,60,27.937,612,114,ok
78,disappear,1684,1031,40,60,48.979,612,114,ok
79,appear,1684,1031,40,60,52.837,612,114,ok
79,disappear,1684,1031,40,60,25.981,612,114,ok
80,appear,1684,1031,40,60,32.638,612,114,ok
80,disappear,1684,1031,40,60,32.951,612,114,ok
