index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1649,893,40,60,68.212,612,114,ok
0,disappear,1649,893,40,60,30.578,612,114,ok
1,appear,1649,893,40,60,44.339,612,114,ok
1,disappear,1649,893,40,60,23.000,612,114,ok
2,appear,1649,893,40,60,23.168,612,114,ok
2,disappear,1649,893,40,60,36.314,612,114,ok
3,appear,1649,893,40,60,23.709,612,114,ok
3,disappear,1649,893,40,60,42.854,612,114,ok
4,appear,1649,893,40,60,21.485,612,114,ok
4,disappear,1649,893,40,60,45.806,612,114,ok
5,appear,1649,893,40,60,28.539,612,114,ok
5,disappear,1649,893,40,60,23.521,612,114,ok
6,appear,1649,893,40,60,24.918,612,114,ok
6,disappear,1649,893,40,60,43.281,612,114,ok
7,appear,1649,893,40,60,44.657,612,114,ok
7,disappear,1649,893,40,60,21.016,612,114,ok
8,appear,1649,893,40,60,31.224,612,114,ok
8,disappear,1649,893,40,60,48.640,612,114,ok
9,appear,1649,893,40,60,46.632,612,114,ok
9,disappear,1649,893,40,60,31.066,612,114,ok
10,appear,1649,893,40,60,29.935,612,114,ok
10,disappear,1649,893,40,60,26.105,612,114,ok
11,appear,1649,893,40,60,27.289,612,114,ok
11,disappear,1649,893,40,60,44.064,612,114,ok
12,appear,1649,893,40,60,43.492,612,114,ok
12,disappear,1649,893,40,60,25.163,612,114,ok
13,appear,1649,893,40,60,22.910,612,114,ok
13,disappear,1649,893,40,60,46.544,612,114,ok
14,appear,1649,893,40,60,44.870,612,114,ok
14,disappear,1649,893,40,60,45.158,612,114,ok
15,appear,1649,893,40,60,24.743,612,114,ok
15,disappear,1649,893,40,60,24.380,612,114,ok
16,appear,1649,893,40,60,27.587,612,114,ok
16,disappear,1649,893,40,60,49.638,612,114,ok
17,appear,1649,893,40,60,22.159,612,114,ok
17,disappear,1649,893,40,60,20.986,612,114,ok
18,appear,1649,893,40,60,29.376,612,114,ok
18,disappear,1649,893,40,60,21.810,612,114,ok
19,appear,1649,893,40,60,47.398,612,114,ok
19,disappear,1649,893,40,60,27.223,612,114,ok
20,appear,1649,893,40,60,27.488,612,114,ok
20,disappear,1649,893,40,60,45.245,612,114,ok
21,appear,1649,893,40,60,45.286,612,114,ok
21,disappear,1649,893,40,60,22.713,612,114,ok
22,appear,1649,893,40,60,44.226,612,114,ok
22,disappear,1649,893,40,60,21.324,612,114,ok
23,appear,1649,893,40,60,23.098,612,114,ok
23,disappear,1649,893,40,60,36.431,612,114,ok
24,appear,1649,893,40,60,27.479,612,114,ok
24,disappear,1649,893,40,60,43.980,612,114,ok
25,appear,1649,893,40,60,45.712,612,114,ok
25,disappear,1649,893,40,60,43.729,612,114,ok
26,appear,1649,893,40,60,38.551,612,114,ok
26,disappear,1649,893,40,60,23.851,612,114,ok
27,appear,1649,893,40,60,22.960,612,114,ok
27,disappear,1649,893,40,60,45.747,612,114,ok
28,appear,1649,893,40,60,20.571,612,114,ok
28,disappear,1649,893,40,60,44.806,612,114,ok
29,appear,1649,893,40,60,45.088,612,114,ok
29,disappear,1649,893,40,60,20.795,612,114,ok
