index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,280,1078,40,60,27.691,538,47,ok
0,disappear,280,1078,40,60,13.828,538,47,ok
1,appear,280,1078,40,60,22.747,538,47,ok
1,disappear,280,1078,40,60,17.028,538,47,ok
2,appear,280,1078,40,60,17.650,538,47,ok
2,disappear,280,1078,40,60,14.918,538,47,ok
3,appear,280,1078,40,60,11.806,538,47,ok
3,disappear,280,1078,40,60,10.975,538,47,ok
4,appear,280,1078,40,60,11.681,538,47,ok
4,disappear,280,1078,40,60,15.042,538,47,ok
5,appear,280,1078,40,60,15.539,538,47,ok
5,disappear,280,1078,40,60,18.768,538,47,ok
6,appear,280,1078,40,60,10.556,538,47,ok
6,disappear,280,1078,40,60,17.575,538,47,ok
7,appear,280,1078,40,60,16.505,538,47,ok
7,disappear,280,1078,40,60,10.793,538,47,ok
8,appear,280,1078,40,60,19.542,538,47,ok
8,disappear,280,1078,40,60,17.306,538,47,ok
9,appear,280,1078,40,60,15.366,538,47,ok
9,disappear,280,1078,40,60,11.153,538,47,ok
10,appear,280,1078,40,60,12.245,538,47,ok
10,disappear,280,1078,40,60,14.781,538,47,ok
11,appear,280,1078,40,60,15.121,538,47,ok
11,disappear,280,1078,40,60,17.215,538,47,ok
12,appear,280,1078,40,60,17.882,538,47,ok
12,disappear,280,1078,40,60,15.977,538,47,ok
13,appear,280,1078,40,60,15.651,538,47,ok
13,disappear,280,1078,40,60,19.722,538,47,ok
14,appear,280,1078,40,60,16.745,538,47,ok
14,disappear,280,1078,40,60,18.556,538,47,ok
15,appear,280,1078,40,60,11.378,538,47,ok
15,disappear,280,1078,40,60,14.116,538,47,ok
16,appear,280,1078,40,60,15.043,538,47,ok
16,disappear,280,1078,40,60,11.255,538,47,ok
17,appear,280,1078,40,60,11.421,538,47,ok
17,disappear,280,1078,40,60,11.691,538,47,ok
18,appear,280,1078,40,60,16.270,538,47,ok
18,disappear,280,1078,40,60,16.899,538,47,ok
19,appear,280,1078,40,60,10.758,538,47,ok
19,disappear,280,1078,40,60,20.711,538,47,ok
20,appear,280,1078,40,60,16.927,538,47,ok
20,disappear,280,1078,40,60,15.209,538,47,ok
21,appear,280,1078,40,60,15.291,538,47,ok
21,disappear,280,1078,40,60,18.311,538,47,ok
22,appear,280,1078,40,60,14.884,538,47,ok
22,disappear,280,1078,40,60,12.659,538,47,ok
23,appear,280,1078,40,60,17.981,538,47,ok
23,disappear,280,1078,40,60,15.156,538,47,ok
24,appear,280,1078,40,60,12.508,538,47,ok
24,disappear,280,1078,40,60,16.268,538,47,ok
25,appear,280,1078,40,60,12.478,538,47,ok
25,disappear,280,1078,40,60,19.950,538,47,ok
26,appear,280,1078,40,60,10.836,538,47,ok
26,disappear,280,1078,40,60,15.619,538,47,ok
27,appear,280,1078,40,60,19.546,538,47,ok
27,disappear,280,1078,40,60,14.871,538,47,ok
28,appear,280,1078,40,60,15.409,538,47,ok
28,disappear,280,1078,40,60,15.294,538,47,ok
29,appear,280,1078,40,60,14.831,538,47,ok
29,disappear,280,1078,40,60,10.931,538,47,ok
30,appear,280,1078,40,60,15.255,538,47,ok
30,disappear,280,1078,40,60,14.518,538,47,ok
31,appear,280,1078,40,60,18.378,538,47,ok
31,disappear,280,1078,40,60,15.298,538,47,ok
32,appear,280,1078,40,60,15.757,538,47,ok
32,disappear,280,1078,40,60,18.247,538,47,ok
33,appear,280,1078,40,60,11.358,538,47,ok
33,disappear,280,1078,40,60,16.592,538,47,ok
34,appear,280,1078,40,60,11.294,538,47,ok
34,disappear,280,1078,40,60,15.597,538,47,ok
35,appear,280,1078,40,60,19.792,538,47,ok
35,disappear,280,1078,40,60,15.245,538,47,ok
36,appear,280,1078,40,60,15.387,538,47,ok
36,disappear,280,1078,40,60,10.746,538,47,ok
37,appear,280,1078,40,60,14.673,538,47,ok
37,disappear,280,1078,40,60,17.584,538,47,ok
38,appear,280,1078,40,60,15.231,538,47,ok
38,disappear,280,1078,40,60,17.181,538,47,ok
39,appear,280,1078,40,60,22.237,538,47,ok
39,disappear,280,1078,40,60,47.640,538,47,ok
40,appear,280,1078,40,60,17.279,538,47,ok
40,disappear,280,1078,40,60,15.457,538,47,ok
41,appear,280,1078,40,60,17.905,538,47,ok
41,disappear,280,1078,40,60,15.660,538,47,ok
42,appear,280,1078,40,60,15.188,538,47,ok
42,disappear,280,1078,40,60,11.397,538,47,ok
43,appear,280,1078,40,60,14.718,538,47,ok
43,disappear,280,1078,40,60,14.471,538,47,ok
44,appear,280,1078,40,60,13.219,538,47,ok
44,disappear,280,1078,40,60,15.064,538,47,ok
45,appear,280,1078,40,60,16.911,538,47,ok
45,disappear,280,1078,40,60,14.938,538,47,ok
46,appear,280,1078,40,60,11.151,538,47,ok
46,disappear,280,1078,40,60,17.634,538,47,ok
47,appear,280,1078,40,60,15.321,538,47,ok
47,disappear,280,1078,40,60,16.759,538,47,ok
48,appear,280,1078,40,60,15.207,538,47,ok
48,disappear,280,1078,40,60,15.856,538,47,ok
49,appear,280,1078,40,60,20.511,538,47,ok
49,disappear,280,1078,40,60,16.853,538,47,ok
50,appear,280,1078,40,60,16.260,538,47,ok
50,disappear,280,1078,40,60,17.285,538,47,ok
51,appear,280,1078,40,60,16.610,538,47,ok
51,disappear,280,1078,40,60,10.993,538,47,ok
52,appear,280,1078,40,60,18.626,538,47,ok
52,disappear,280,1078,40,60,11.109,538,47,ok
53,appear,280,1078,40,60,13.112,538,47,ok
53,disappear,280,1078,40,60,15.008,538,47,ok
54,appear,280,1078,40,60,14.808,538,47,ok
54,disappear,280,1078,40,60,17.510,538,47,ok
55,appear,280,1078,40,60,16.220,538,47,ok
55,disappear,280,1078,40,60,16.201,538,47,ok
56,appear,280,1078,40,60,14.696,538,47,ok
56,disappear,280,1078,40,60,15.062,538,47,ok
57,appear,280,1078,40,60,19.704,538,47,ok
57,disappear,280,1078,40,60,10.937,538,47,ok
58,appear,280,1078,40,60,15.613,538,47,ok
58,disappear,280,1078,40,60,15.203,538,47,ok
59,appear,280,1078,40,60,15.323,538,47,ok
59,disappear,280,1078,40,60,14.858,538,47,ok
60,appear,280,1078,40,60,14.870,538,47,ok
60,disappear,280,1078,40,60,14.475,538,47,ok
61,appear,280,1078,40,60,11.575,538,47,ok
61,disappear,280,1078,40,60,17.868,538,47,ok
62,appear,280,1078,40,60,14.778,538,47,ok
62,disappear,280,1078,40,60,14.773,538,47,ok
63,appear,280,1078,40,60,11.297,538,47,ok
63,disappear,280,1078,40,60,12.464,538,47,ok
64,appear,280,1078,40,60,16.351,538,47,ok
64,disappear,280,1078,40,60,11.487,538,47,ok
