index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
0,appear,1663,953,40,60,137.617,405,82,ok
0,disappear,1663,953,40,60,61.016,405,82,ok
1,appear,1663,953,40,60,73.031,405,82,ok
1,disappear,1663,953,40,60,59.163,405,82,ok
2,appear,1663,953,40,60,66.211,405,82,ok
2,disappear,1663,953,40,60,66.305,405,82,ok
3,appear,1663,953,40,60,71.315,405,82,ok
3,disappear,1663,953,40,60,47.833,405,82,ok
4,appear,1663,953,40,60,66.638,405,82,ok
4,disappear,1663,953,40,60,61.061,405,82,ok
5,appear,1663,953,40,60,76.969,405,82,ok
5,disappear,1663,953,40,60,61.166,405,82,ok
6,appear,1663,953,40,60,84.607,405,82,ok
6,disappear,1663,953,40,60,63.225,405,82,ok
7,appear,1663,953,40,60,65.071,405,82,ok
7,disappear,1663,953,40,60,67.366,405,82,ok
8,appear,1663,953,40,60,74.612,405,82,ok
8,disappear,1663,953,40,60,65.245,405,82,ok
9,appear,1663,953,40,60,82.327,405,82,ok
9,disappear,1663,953,40,60,88.363,405,82,ok
10,appear,1663,953,40,60,87.573,405,82,ok
10,disappear,1663,953,40,60,50.757,405,82,ok
11,appear,1663,953,40,60,70.964,405,82,ok
11,disappear,1663,953,40,60,62.906,405,82,ok
12,appear,1663,953,40,60,89.965,405,82,ok
12,disappear,1663,953,40,60,60.966,405,82,ok
13,appear,1663,953,40,60,71.582,405,82,ok
13,disappear,1663,953,40,60,65.650,405,82,ok
14,appear,1663,953,40,60,74.036,405,82,ok
14,disappear,1663,953,40,60,52.688,405,82,ok
15,appear,1663,953,40,60,87.824,405,82,ok
15,disappear,1663,953,40,60,52.494,405,82,ok
16,appear,1663,953,40,60,68.023,405,82,ok
16,disappear,1663,953,40,60,55.111,405,82,ok
17,appear,1663,953,40,60,66.197,405,82,ok
17,disappear,1663,953,40,60,56.546,405,82,ok
18,appear,1663,953,40,60,85.241,405,82,ok
18,disappear,1663,953,40,60,83.948,405,82,ok
19,appear,1663,953,40,60,74.528,405,82,ok
19,disappear,1663,953,40,60,58.251,405,82,ok
20,appear,1663,953,40,60,74.878,405,82,ok
20,disappear,1663,953,40,60,59.879,405,82,ok
21,appear,1663,953,40,60,83.724,405,82,ok
21,disappear,1663,953,40,60,59.520,405,82,ok
22,appear,1663,953,40,60,75.923,405,82,ok
22,disappear,1663,953,40,60,54.820,405,82,ok
23,appear,1663,953,40,60,74.064,405,82,ok
23,disappear,1663,953,40,60,61.936,405,82,ok
24,appear,1663,953,40,60,75.748,405,82,ok
24,disappear,1663,953,40,60,52.723,405,82,ok
25,appear,1663,953,40,60,71.284,405,82,ok
25,disappear,1663,953,40,60,62.528,405,82,ok
